keyword,frequency,weight
做滿,0,1
出賣,0,1
初選,0,1
厚顏,0,1
吐出來,0,1
國民黨,0,1
大位,0,1
徐永明,0,1
慣用,0,1
承諾,0,1
根本,0,1
正反,0,1
無恥,0,1
獲利,0,1
背信,0,1
補助款,0,1
選舉,0,1
重任,0,1
韓國瑜,0,1
余天,0,1
合成,0,1
同黨,0,1
小英,0,1
支持,0,1
林佳龍,0,1
民調,0,1
照片,0,1
秀出,0,1
維尼,0,1
總統,0,1
蔡英文,0,1
鄭文燦,0,1
之後,0,1
人口,0,1
啟動,0,1
建設,0,1
星期,0,1
經濟,0,1
臺灣,0,1
重大,0,1
高雄,0,1
健身網,0,1
尊重,0,1
小港區,0,1
市民,0,1
拿不到,0,1
攻防戰,0,1
瑜連,0,1
直播,0,1
紅陳之漢,0,1
評價,0,1
議會,0,1
路平,0,1
鎂光燈,0,1
陳致中,0,1
大里區,0,1
廢棄物,0,1
張滄沂,0,1
戴奧辛,0,1
排放,0,1
檢測,0,1
污染,0,1
燃燒,0,1
環保局,0,1
盧秀燕,0,1
空污,0,1
空污法,0,1
里長,0,1
陳情書,0,1
人行道,0,1
兒童,0,1
公園,0,1
大港墘,0,1
彭振聲,0,1
極端,0,1
毫米,0,1
氣候,0,1
海綿,0,1
花園,0,1
透水,0,1
遊戲場,0,1
雨水,0,1
探戈,0,1
曾馨瑩,0,1
林志玲,0,1
緋聞,0,1
郭台銘,0,1
事務,0,1
互信,0,1
人民,0,1
價值,0,1
前進,0,1
北美,0,1
台灣,0,1
同仁,0,1
委員會,0,1
我們,0,1
捍衛,0,1
改名為,0,1
民主,0,1
穩健,0,1
美國,0,1
足夠,0,1
進程,0,1
里程碑,0,1
關係,0,1
默契,0,1
公布,0,1
周江杰,0,1
妥適,0,1
定案,0,1
徵詢,0,1
提問,0,1
政見,0,1
政見會,0,1
是否,0,1
民進黨,0,1
發表會,0,1
賴中強,0,1
賴清德,0,1
贊成,0,1
全壘打,0,1
回覆,0,1
市長,0,1
棒球版,0,1
獅隊,0,1
發問,0,1
網友,0,1
跑出,0,1
陳晨威,0,1
團結,0,1
大有所,0,1
張榮味,0,1
彈發,0,1
既然,0,1
林濁水,0,1
溥崐萁,0,1
王如,0,1
王棄選,0,1
王金平,0,1
王韓,0,1
聽到,0,1
肯定,0,1
辦法,0,1
退選,0,1
退隱,0,1
院長,0,1
台中市,0,1
後援會,0,1
李茂盛,0,1
英台,0,1
醫界,0,1
醫療界,0,1
副董事長,0,1
大甲,0,1
鄭銘坤,0,1
鎮瀾宮,0,1
顏家,0,1
顏寬恒,0,1
顏清標,0,1
上緊,0,1
內閣,0,1
改革,0,1
施政,0,1
有感,0,1
治軍,0,1
發條,0,1
蘇貞昌,0,1
部會,0,1
陳其邁,0,1
屏東,0,1
抗議,0,1
潘孟安,0,1
立委,0,1
縣府,0,1
農委會,0,1
鄉民,0,1
養雞場,0,1
黃國昌,0,1
修改,0,1
候選人,0,1
制度,0,1
完備,0,1
小組,0,1
形式,0,1
徵求,0,1
意見,0,1
拜會,0,1
採納,0,1
流於,0,1
討厭,0,1
開跑,0,1
催票,0,1
周佳琪,0,1
周典論,0,1
周碧雲,0,1
多少,0,1
女兒,0,1
屏東縣,0,1
拼湊,0,1
沒關係,0,1
莊瑞雄,0,1
議長,0,1
保育,0,1
反對,0,1
吳濬彥,0,1
條例,0,1
石虎,0,1
自治,0,1
苗栗縣,0,1
議員,0,1
退回,0,1
鄭聚然,0,1
開發,0,1
哈哈,0,1
態度,0,1
王粉,0,1
葉元之,0,1
郭王,0,1
郭王配,0,1
俗稱,0,1
初心,0,1
北部,0,1
南部,0,1
單純,0,1
找回,0,1
材料,0,1
無窮,0,1
端午,0,1
端午節,0,1
粽子,0,1
美味,0,1
菜粽,0,1
蘇嘉全,0,1
選擇,0,1
韻味,0,1
齋粽,0,1
公務,0,1
